Variable	Bin	Segment	Count	Count (%)	Non-event	Event	Event rate
monsnclasttrop_pl_onc	(-inf, 3.17)	Super Green	2901	16.21%	2887	14	0.48%
monsnclasttrop_pl_onc	[3.17, 15.99)	Green	8773	49.02%	8704	69	0.79%
monsnclasttrop_pl_onc	[15.99, 25.76)	Amber	2103	11.75%	2083	20	0.95%
monsnclasttrop_pl_onc	[25.76, inf)	Red	2444	13.66%	2411	33	1.35%
monsnclasttrop_pl_onc	Special		0	0.00%	0	0	0.00%
monsnclasttrop_pl_onc	Missing	Red	1676	9.36%	1631	45	2.68%
monsnclasttrop_uns_onc	(-inf, 0.84)	Super Green	905	5.06%	900	5	0.55%
monsnclasttrop_uns_onc	[0.84, 3.03)	Super Green	3346	18.70%	3324	22	0.66%
monsnclasttrop_uns_onc	[3.03, 9.66)	Green	5989	33.46%	5941	48	0.80%
monsnclasttrop_uns_onc	[9.66, 32.18)	Green	5855	32.71%	5800	55	0.94%
monsnclasttrop_uns_onc	[32.18, inf)	Red	1220	6.82%	1204	16	1.31%
monsnclasttrop_uns_onc	Special		0	0.00%	0	0	0.00%
monsnclasttrop_uns_onc	Missing	Red	582	3.25%	547	35	6.01%
no_tr_open_l6m_pl_onc	(-inf, inf)	Super Green	5205	29.08%	5171	34	0.65%
no_tr_open_l6m_pl_onc	Special		0	0.00%	0	0	0.00%
no_tr_open_l6m_pl_onc	Missing	Red	12692	70.92%	12545	147	1.16%
no_trades_all_onc	(-inf, 3.50)	Red	1336	7.46%	1320	16	1.20%
no_trades_all_onc	[3.50, 18.50)	Amber	9368	52.34%	9278	90	0.96%
no_trades_all_onc	[18.50, inf)	Green	7163	40.02%	7118	45	0.63%
no_trades_all_onc	Special		0	0.00%	0	0	0.00%
no_trades_all_onc	Missing		30	0.17%	0	30	0.00%
max_dpd_l6m_cc_onc	(-inf, 3.50)	Green	15027	83.96%	14921	106	0.71%
max_dpd_l6m_cc_onc	[3.50, inf)	Red	1018	5.69%	1002	16	1.57%
max_dpd_l6m_cc_onc	Special		0	0.00%	0	0	0.00%
max_dpd_l6m_cc_onc	Missing	Red	1852	10.35%	1793	59	3.19%
