crn	report_month	creditlimit	date_closed	date_opened	datereported_trades	dpd_string	pay_hist_end_date	pay_hist_start_date	sanction_amount	out_standing_balance	over_due_amount	emi	high_credit_amount	tu_score	last_payment_date	loan_type_new	loan_status	loan_classification	ownership_type	sector	payhist_1	payhist_2	payhist_3	payhist_4	payhist_5	payhist_6	payhist_7	payhist_8	payhist_9	payhist_10	payhist_11	payhist_12	payhist_13	payhist_14	payhist_15	payhist_16	payhist_17	payhist_18	payhist_19	payhist_20	payhist_21	payhist_22	payhist_23	payhist_24	payhist_25	payhist_26	payhist_27	payhist_28	payhist_29	payhist_30	payhist_31	payhist_32	payhist_33	payhist_34	payhist_35	payhist_36	dt1	dt2	dt3	dt4	dt5	dt6	dt7	dt8	dt9	dt10	dt11	dt12	dt13	dt14	dt15	dt16	dt17	dt18	dt19	dt20	dt21	dt22	dt23	dt24	dt25	dt26	dt27	dt28	dt29	dt30	dt31	dt32	dt33	dt34	dt35	dt36	max_dpd	max_dpd_date	months_since_max_dpd
698167220	202602	500000	NULL	2021-10-14	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-02-01	2026-01-01	500000	15229	0	NULL	70968	785	2026-01-01	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	NULL	2025-09-22	2023-10-22	2025-10-15	000000000000000000000000000000000000000000000000000000000000	2024-03-01	2025-10-01	200000	0	0	9415	200000	785	NULL	Loan on Credit Card	Closed	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	2022-11-30 00:00:00	2022-10-31 00:00:00	0	2025-09-30 00:00:00	4	
698167220	202602	NULL	NULL	2024-02-26	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000	2024-02-01	2026-01-01	300000	135623	0	NULL	300000	785	2026-01-02	Loan on Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	NULL	NULL	2024-05-27	2026-01-15	000000000000000000000000000000000000000000000000000000000000000	2024-05-01	2026-01-01	311925	166761	0	NULL	311925	785	2026-01-02	Personal Loan	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	NULL	NULL	2025-11-18	2026-01-15	000000000	2025-11-01	2026-01-01	1205	1205	0	NULL	1205	785	NULL	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	435000	NULL	2021-04-15	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-02-01	2026-01-01	435000	67088	0	NULL	294185	785	2026-01-05	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	435000	NULL	2022-10-11	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-02-01	2026-01-01	435000	0	0	NULL	63867	785	2024-06-11	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	15000	NULL	2021-03-30	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000XXX000000000000000000000	2023-02-01	2026-01-01	15000	6387	0	NULL	15721	785	2025-12-07	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	0	0	0	0	0	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	30000	NULL	2024-01-10	2026-01-15	000000000000000000000000000000000000000000000000000000000000000000000000000	2024-01-01	2026-01-01	30000	4632	0	NULL	9490	785	2025-11-26	Credit Card	Live	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-12-31 00:00:00	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	0	2025-12-31 00:00:00	1	
698167220	202602	50000	2025-11-15	2020-09-17	2025-12-30	000000000000000000000000000000000000000000000000000000000000000000000000XXX000000XXX000000000000000000000000	2023-01-01	2025-12-01	50000	0	0	NULL	40571	785	2025-10-29	Credit Card	Closed	000	Individual	NOT DISCLOSED	Asset	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	0	0	NULL	0	0	0	0	0	0	0	0	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	0	2025-11-30 00:00:00	2	
